index,original,new
1,v-neck,vneck
2,v neck,vneck
3,d,chest
4,w,with
5,ft,feet
6,ot,overtop
7,sz,size
8,dd,ddcup
9,l,large
10,s,small
11,m,medium
12,p,petite
13,x,extra
14,t,tee
15,tts,truesize
16,lbs,pound
17,lb,pound
18,be, 
19,hte,hardexplain
20,th, 
21,c,ccup
22,b,bcup
23,d,dcup
24,do, 
25,yes, 
26,no, 
